Index|Name|Transliteration|Meaning|Explanation
48|الْوَدُودُ|El-Vedûd |Iyi kullarini seven, sevilmeye ve dostluga hakkiyla layik olan.|El-Vedûd: Çok seven ve çok sevilen; sevilmeye lâyik olan demektir. Allah Teâlâ, sâlih kullarini sever, sâlih kullari da Allah’i sever. Sâlih kullarindan râzidir. Allah yaratilmis bütün varliklarin hayrini ister. Bu nedenle onlara ihsân ve ikrâmlarda bulunur. Sevilmeye en çok lâyik olan da O’dur. Her mü’minin hedefi Allah dostlugunu kazanabilmek olmalidir. Bunun için her türlü fedakârliga katlanmalidir. Bu isimden nasip alan kul, hem Allah adina herkesi, her seyi sever; hem de herkes tarafindan sevilir.
49|الْمَجِيدُ|El-Mecîd |Sani çok büyük ve çok yüksek olan.|El-Mecîd: Sâni büyük, yüksek; lütuf ve ikrâmi bol demektir. Allah Teâlâ, her türlü eksikliklerden yücedir. Sâni büyüktür. Lütuf ve keremi çoktur. Her türlü övgüye lâyiktir. Affi, ihsâni, rahmeti ve yardimi sonsuzdur. Nimetleri saymakla bitmez.
50|الْبَاعِثُ|El-Bâis |Ölüleri diriltip kabirlerinden çikaran.|El-Bâis: Ölüleri dirilten, Peygamber gönderen demektir. Allah Teâlâ, öldükten sonra diriltendir. Insanlar ölüp toprak olduktan sonra onlari diriltecek, kabirlerinden çikaracak, mahserde toplayacak, çok ayrintili bir sekilde hesaba çekecektir. Allah Teâlâ, ayni zamanda insanlara dogru yolu göstermek üzere Peygamberler gönderendir. Peygamberlere uyanlar kurtulacak, uymayanlar azâbi hak edeceklerdir.
51|الشَّهِيدُ|Es-Sehîd |Her zaman ve her yerde hazir ve nazir olan.|Es-Sehîd: Her zaman, her yerde hazir olan; her seye sâhit olan; kendisine hiçbir sey gizli olmayan demektir. Allah Teâlâ, her seyi bilendir. Ilminden hiç bir sey gizli olmayandir. Allah, açikta olanlari da bilir, gizli olanlari da bilir. O, her seye sâhittir. Âhirette herkese halini bildirecektir.
52|الْحَقُّ|El-Hakk |Vacib'ul vücut olan, varligi hiç degismeden duran.|El-Hakk: Varligi gerçek olan, varligi hiç degismeden duran; varligi ve ilâhligi kesin olan, hükmünün geregini yerine getiren demektir. Allah Teâlâ, varligi ve ilâhligi kesin olan, inkâri mümkün olmayandir. O’nun zâti yoklugu kabul etmedigi gibi bir degisikligi de kabul etmez. Hükmünün geregini yerine getirendir. Ezelî ve ebedî olandir. Degismeksizin varligi devam edendir. Varligi fiilen gerçek olandir yani sadece zihinde degil, zihnin disinda da var olandir.
53|الْوَكِيلُ|El-Vekîl |Islerini kendisine birakanlarin isini düzelten ve her seyin iyisini temin eden.|El-Vekîl: Islerini kendisine birakanlarin islerini en mükemmel bir sekilde yapan; kendisine güvenilip dayanilan demektir. Allah Teâlâ, her bakimdan insanin güvenip dayanacagi varliktir. En güzel vekildir, en büyük vekildir. Yarattigi bütün varliklarin islerini idare edendir. Allah Teâlâ, elinden geleni yaptiktan sonra isini Allah’a havale edeni, mükâfâtlandirir.
54|الْقَوِيُّ|El-Kaviyy |Pek kuvvetli. Pek güçlü olan.|El-Kaviyy: Pek güçlü; gücü her seye yeten demektir. Allah Teâlâ, tam bir kudret sahibidir. Gücü, kuvveti sonsuzdur; bitmez, tükenmez. Bir sinira sigmaz, ölçüye gelmez. Nicelik ve nitelik bakimindan üstün kudrete sahiptir. Gücünün yetmeyecegi bir sey düsünülemez. O, her seyi etkiler, ama hiç bir sey O’nu etkileyemez.
55|الْمَتِينُ|El-Metîn |Çok saglam olan.|El-Metîn: Sonsuz kudrete sahip; son derece güçlü, kuvvetli; dayanikli, saglam demektir. Allah Teâlâ, sonsuz bir güce sahiptir. Fiillerinden dolayi zatina her hangi bir zorluk ve yorgunluk ilismez. Kuvveti azalip gevsemez. Hiçbir sey O’nu âciz birakamaz. Hiç kimsenin yardimina da muhtaç degildir. Allah’in “Kaviyy” ismi, kudretinin kemâlini ifâde eder. Bütün nesne ve olaylari etkileyendir. “Metîn” ismi, kuvvetinin siddetini bildirir. Distan gelebilecek hiç bir etkiyi kabul etmeyendir.
56|الْوَلِيُّ|El-Veliyy |Iyi kullarina, gerçek mü’minlere dost olan.|El-Veliyy: Dost ve yardimci demektir. Allah Teâlâ, sevdigi kullarinin dostudur. Onlara yardim eder; sikintilarini, darliklarini giderir; ferahlik verir. Dünya ve âhiret islerinde basariya ulastirir. Mü’minlerin yardimcisi ve koruyucusudur. Allah’tan baska gerçek dost ve yardimci yoktur.
57|الْحَمِيدُ|El-Hamîd |Her türlü hamd ve övgüye layik olan.|El-Hamîd: Övülmeye lâyik olan demektir. Allah Teâlâ, bütün isimleri, sifatlari ve fiilleriyle övülmeye tek lâyik olan zâttir. Bütün varligin diliyle övülen ve sükredilendir. Allah Teâlâ, bizâtihî övülmeye lâyik olandir. Ayni zamanda insanlarin isledikleri iyi fiiller sebebiyle onlari över ve mükâfâtlandirir.
58|الْمُحْصِي|El-Muhsî |Istisnasiz her seyin tek tek sayisini bilen.|El-Muhsî: Sonsuz ilmiyle her seyin sayisini bilen, her yapilani bir bir sayan demektir. Allah Teâlâ, sonsuz ilmi ile her seyi kusatmistir. Her seyi tek tek ve bütün ayrintilariyla bilendir. O’nun ilminden hiç bir sey hariç kalamaz. Bütün amellerin sayisini bilir, kiyâmet günü bunlarin hepsinin karsiligini verir. Hiç birini unutmaz ve atlamaz.
59|الْمُبْدِئُ|El-Mübdi |Bütün mahlukati maddesiz ve örneksiz olarak ilk bastan yaratan.|El-Mübdi: Yaratiklari maddesiz ve örneksiz olarak ilk bastan yaratan demektir. Allah Teâlâ, kâinâti yaratirken daha önce bir benzeri ve örnegi olmaksizin yaratmistir. Iste esas yaratma denilen, ilk maddesi, örnegi olmaksizin yaratmadir. Bu, yoktan var etmedir ve Allah’a mahsustur.
60|الْمُعِيدُ|El-Muid |Yaradilmislari yok ettikten sonra tekrar yaratan.|El-Muid: Yaratilmislari öldürdükten, yok ettikten sonra tekrar yaratan; öldükten sonra dirilten demektir. Allah Teâlâ, ilk defa yarattigi bütün insanlari öldürecek, sonra tekrar diriltecek ve dünya hayatlarindaki inanç ve amellerinden hesaba çekecektir. Hayat, sadece dünya hayatindan ibaret degildir. Tekrar bir hayat vardir ki gerçek ve devamli hayat budur. Insanlar buna göre hareket etmelidir.
61|الْمُحْيِي|El-Muhyî |Ihya eden, dirilten, can bagislayan, saglik veren.|El-Muhyî: Can veren, yasatan demektir. Allah Teâlâ, can bagislayan, saglik verendir. Ölüleri diriltendir. Ölü beldeleri gökten indirdigi su ile canlandiran, yeryüzünü bitkilerle donatandir. Ilk olarak yaratan, can veren Allah, öldükten sonra tekrar hayat vermeye kâdirdir. Ölü kalpleri ilâhî hidâyet ve marifetle canlandirandir.
62|اَلْمُمِيتُ|El-Mümît |Ölümü yaratan, öldüren.|El-Mümît: Öldüren, canlinin hayatina son veren demektir. Allah Teâlâ, canlilara hayat verdigi gibi, ezelî ilmindeki takdire göre vakti gelince bu hayatlara son verendir. Fânî hayat, dogumla baslar, ölümle biter. Hayat dedigimiz ruhla cesedin birlesmesidir. Ölüm ise ruhun cesedden ayrilmasidir. Ruh, ölmez. Baska bir hayatla devam eder. Kul için, ölüm sonrasi baslayacak yeni ve devamli hayata iyi hazirlik yapmak mühimdir.
63|الْحَيُّ|El-Hayy |Diri, tam ve mükemmel manasiyla hayat sahibi.|El-Hayy:  Diri, canli olan; ölmek sânindan olmayan demektir. Allah Teâlâ, bütün hayatlarin kaynagidir. Hep diridir. Allah’in hayy (diri) olusu, yaratilmis varliklarda oldugu gibi organik bir canlilik degildir. Hiç bir seyden gâfil olmayan, hata yapmayan, kâinâtta kendisinden hiç bir sey gizli olmayan demektir.
64|الْقَيُّومُ|El-Kayyûm |Gökleri, yeri ve her seyi tutan.|El-Kayyûm: Olup kimseye muhtaç degildir. Ezelî ve ebedîdir. Her seyin varlik kazanmasi ve varligini devam ettirmesi ancak Allah’in yaratmasi, maddî mânevî ihtiyaçlarini gidermesi ve korumasiyla mümkündür. Yeri, gökleri ayakta tutan O’dur.
65|الْوَاجِدُ|El-Vâcid |Istedigini, istedigi vakit bulan.|El-Vâcid: Istedigini istedigi zaman bulan; hiç bir seye muhtaç olmayan demektir. Allah Teâlâ, diledigi seye sahip olur. Bu hususta bir engelle karsilasmaz. Bir seyi ele geçirmek istediginde zaman kollamaya, tedbir almaya, tuzak kurmaya ihtiyaci yoktur. Istedigi, istedigi zaman O’nun huzurundadir. Bütün yaratiklar O’nun emri ve tasarrufu altindadir.
66|الْمَاجِدُ|El-Mâcid |Kadri büyük, keremi bol olan.|El-Mâcid: Sâni ve kadri büyük; kerem ve cömertligi bol demektir. Allah Teâlâ, yardimi, ihsâni bol olandir. O’nun kullarina olan kerem ve cömertligi ifâdeye sigmaz, ölçüye gelmez. Bir taraftan kullarini iyi isler yapmaya muvaffak kilar; öbür taraftan onlari güzel sifatlara sahip olduklarindan över.
67|الْواحِدُ|El-Vâhid |Tek olan.|El-Vâhid: Bir olan, tek olan; zâtinda, sifatlarinda, isimlerinde ve fiillerinde asla ortagi, dengi ve benzeri bulunmayan demektir. Allah Teâlâ, tektir, bölünüp parçalara ayrilmaz. Benzeri yoktur. Allah’in bir olmasi sayi bakimindan degildir, büyüklük ve yücelik açisindandir. O, bölünmesi ve artmasi mümkün olmayan tek bir varliktir.
68|الصَّمَدُ|Es-Samed |Siginacak tek dayanak olan.|Es-Samed: Her seyin kendisine muhtaç oldugu, kendisinin hiç bir seye muhtaç olmadigi; ihtiyaçlarin giderilmesi ve izdiraplarin dindirilmesi için basvurulacak tek merci demektir. Allah Teâlâ, yaratiklarin her türlü ihtiyaçlarini gidermek için basvurduklari tek basvuru kaynagidir. Her türlü yaratigin her türlü ihtiyacini en mükemmel bir sekilde karsilar ve giderir. Kendisi ise hiç bir seye muhtaç degildir.
69|الْقَادِرُ|El-Kâdir |Her seye gücü yeten, her istedigini yapmaya kâdir olan.|El-Kâdir: Her seye gücü yeten; kudret sahibi demektir. Allah Teâlâ, istedigini, istedigi gibi yapmaya gücü yetendir. Her seyi takdir eden, planli ve ölçülü yapandir. Hiçbir sey O’nu âciz birakamaz. Âlem, mutlak irâde ve kudrete sahip olan Allah tarafindan yaratilmistir.
70|الْمُقْتَدِرُ|El-Muktedir |Kuvvet ve kudret sahipleri üzerinde diledigi gibi tasarruf eden.|El-Muktedir: Tam bir kudret sahibi; her seye gücü yeten demektir. Allah Teâlâ, kuvvet ve kudret sahipleri üzerinde istedigi gibi tasarruf edendir. O’nun “Kâdir” olusu, istedigini, istedigi anda ve istedigi sekilde yaratma gücüne sahip olmasi demektir. “Muktedir” olmasi ise, bilfiil gücünü yarattiklarinda göstermesidir.
71|الْمُقَدِّمُ|El-Mukaddim |Istedigini ileri geçirip, öne alan.|El-Mukaddim: Istedigini öne alan, ileri geçiren demektir. Allah Teâlâ, diledigi seyi veya kimseyi öne alan, önde bulundurandir. Allah’in daveti geneldir. Fakat hidâyet ettikleri davete uyar, ileri gider. Hidâyet etmedikleri geri kalir. Allah’in emir ve yasaklari bütün kullar içindir. Fakat Allah’in muvaffak ettikleri bunlara uyar, yükselir; muvaffak etmedikleri geride kalir. O hâlde hem akil ve irâdemizi Allah’a îmân ve itâat yönünde kullanmali, hem de Allah’tan hidâyet istemelidir. “Mukaddim” ismi, “Muahhir” ismiyle beraber degerlendirilmelidir.
72|الْمُؤَخِّرُ|El-Muahhir |Istedigini geri koyan, arkaya birakan.|El-Muahhir: Istedigini geri koyan, arkaya birakan demektir. Allah Teâlâ, hikmeti geregi geri birakilmasi gerekenleri geri birakir. “Mukaddim” ismi ile ilgili açiklamalarimiz “Muahhir” ismi ile de ilgilidir. Esasen bu iki isim beraber degerlendirilmelidir. Bazan Allah Teâlâ, kullarin istediklerini bir hikmeti geregi geri birakir. Imtihan dünyasinda oldugumuzu unutmamamiz gerekir.
73|الأوَّلُ|El-Evvel |Baslangici olmayan, ilk olan.|El-Evvel: Ilk; varliginin baslangici olmayan demektir. Allah Teâlâ, bütün varliklardan öncedir. Varliginin bir evveli, baslangici yoktur. O, kadîmdir, ezelîdir. Varligi kendi zâtiyladir. Bütün varliklar varligini O’ndan almaktadir. Yaratmayi baslatan O’dur. “Evvel” ismini “Âhir” ismiyle beraber degerlendirmelidir.
74|الآخِرُ|El-Âhir |Bitisi olmayan, son olan.|El-Âhir: Varliginin sonu olmayan demektir. Allah Teâlâ, varligi devamli olandir. Varliginin baslangici olmadigi gibi sonu da yoktur. Allah, esyanin evveli olmasi bakimindan “Evvel”dir. Esyanin sonu Allah’tan olmasi bakimindan da “Âhir”dir. “Âhir” ismini, “Evvel” ismiyle beraber degerlendirmelidir.
75|الظَّاهِرُ|Ez-Zâhir |Açikca bilinen, âsikâr olan.|Ez-Zâhir: Varligi apaçik demektir. Allah Teâlâ, varligini ve birligini belgeleyen birçok delil bulunmasi açisindan asikârdir. Her seyin üstünde olan, her seyden yüce olandir. Allah’in varligi o kadar açiktir ki insanin gördügü her sey, ibret nazariyla baktigi takdirde onu, Allah’a götürür. “Zâhir” ismi, “Bâtin” ismiyle beraber degerlendirilmelidir.
76|الْبَاطِنُ|El-Bâtin |Gizli olan.|El-Bâtin: Zâtinin görülmesi ve mâhiyetinin bilinmesi açisindan gizli demektir. Allah Teâlâ, gizlidir. Çünkü O, gözle görülemez, künhüyle bilinemez. Insan, her seyiyle sinirlidir. Allah ise, sinirsizdir. Sinirli olan sinirsiz olani idrâk ve ihâta edemez. “Bâtin” ismi, “Zâhir” ismiyle beraber degerlendirilmelidir.
77|الْوَالِي|El-Vâlî |Her seyi tek basina idare eden.|El-Vâlî: Kâinatin tek hâkimi, yöneticisi demektir. Allah Teâlâ, bu büyük evreni ve her an meydana gelen bütün olaylari tek basina yönetendir. Yaratiklarin islerini yerine koyandir. Bütün varliklarin tek hükümdâri olup onlar üzerinde istedigi sekilde tasarrufta bulunandir. Dirilten ve öldüren O’dur. Hiç bir sey O’nun tasarrufunun disinda kalmaz.
78|الْمُتَعَالِي|El-Müteâlî |Aklin mümkün gördügü her seyden, her hâl ve tavirdan münezzeh olan.|El-Müteâlî: Izzet, seref ve hükümranlik bakimindan en yüce demektir. Allah Teâlâ, yaratilmislar hakkinda aklin mümkün gördügü her seyden, her hal ve tavirdan yücedir. Zât, sifat ve fiilleri açisindan yaratilmislara benzemekten, denk ve ortagi bulunmaktan yücedir.
79|الْبَرُّ|El-Berr |Kullarina iyilik ve ihsani, nimetleri bol olan.|El-Berr: Iyilik ve bahsisi çok olan; va’dini yerine getiren demektir. Allah Teâlâ, kullari hakkinda kolaylik isteyendir. Yaratiklarina karsi rahmet ve magfireti; lütuf ve ihsâni bol olandir. Kullarinin hep iyiligini ister, kötülüklerini ve zorluk çekmelerini istemez. Yapilan kötülüklerin çogunu bagislar, örtbas eder.
80|التَّوَابُ|Et-Tevvâb |Tövbeleri kabul eden.|Et-Tevvâb: Tövbe eden kullarinin tövbelerini kabul eden ve tövbede muvaffak kilan demektir. Allah Teâlâ, kullarini tövbeye sevkeden ve tövbelerini kabul edendir. Kendisine yönelen kullarinin günahlarini affedendir. Tövbeleri kabul edip günahlari bagislayandir. Kul, isledigi günahlardan pisman olur, tövbeye yönelirse Allah onu tövbesinde basarili kilar ve tövbesini kabul eder.
81|الْمُنْتَقِمُ|El-Müntakim |Suçlulari adaletiyle cezalandirip intikam alan.|El-Müntakim: Suçlulara, adâleti ile hak ettikleri cezayi veren demektir. Allah Teâlâ, suçlulari hemen cezalandirmaz. Onlari çesitli yollarla uyarir. Yanlis davranisindan dönmesi için kendisine firsat ve yeterli zaman verir. Tövbe etmeyenleri cezalandirir. Fakat bu cezalandirma kendisi için degildir; zulüm ve gadre ugrayanlar içindir. Allah, dostlarindan degil, düsmanlarindan intikam alir.
82|العَفُوُّ|El-Afüvv |Affi ve rahmeti çok olan, bagislayan.|El-Afüvv: Hiç bir sorumluluk kalmayacak sekilde günahlari affeden demektir. Allah Teâlâ, günahlari kökünden kaziyip tamamen yok eder. Kirâmen kâtibin meleklerinin kayitlarini siler. Hatirlayip mahçup olmasinlar diye kullarina isledikleri günahlari da unutturur. Bu isimden nasip alan kul, bir taraftan devamli Allah’tan af diler, diger taraftan ümitsizlige kapilmaz. Kullara karsi da çok affedici olur.
83|الرَّؤُوفُ|Er-Raûf |Pek aciyan, lütuf ve merhametle pek esirgeyen.|Er-Raûf: Çok sefkatli ve merhametli demektir. Allah Teâlâ, kullarina karsi ileri derecede merhamet ve sefkat sahibidir. Kullarinin sikintilarini ortadan kaldirir. Allah kullarina akil ve iyiyi kötüyü ayirt etme yetenegi vermistir. Kullarini, isledikleri suçlardan dolayi hemen cezalandirmaz. Onlara hatalarindan dönmesi için firsat tanir. Inanan kullarinin kusurlarini bagislar, iyi amellerine fazlasiyla mükâfât verir.
84|مَالِكُ الْمُلْكِ|Mâlikü’l-Mülk |Mülkün ebedi sahibi olan.|Mâlikü’l-Mülk: Mülkün gerçek sâhibi; bütün varlik âleminin tek hâkimi demektir. Allah Teâlâ, bütün kâinatin tek sâhibi ve mâlikidir. Mülkünde istedigi gibi tasarruf eder. Diledigine mülk verir, diledigine vermez. Diledigine az verir, diledigine çok verir. Mutlak hükümranlik O’na aittir. Bu isimden nasip alan kulda mal ve mülkün emânet oldugu suuru yerlesir. Mal ve mülkü nasil kullanacagini bilir; israf ve cimrilikten uzak durur. Nimet verene sükrünü tam yapar.
85|ذُوالْجَلاَلِ وَالإكْرَامِ|Zü’l- Celal-i ve’l-Ikram |Her türlü büyüklügün, her türlü keremin sahibi olan.|Zü’l- Celal-i ve’l-Ikram: Ululuk ve ikrâm sahibi demektir. Allah Teâlâ, yaratiklari tarafindan yüceltilmeye ve övülmeye lâyik olandir. Kullarindan dilediklerine, kendisine samimiyetle kulluk vazifelerini yapmayi saglayan, mânevî derecelerini yükselten, dünyada ve âhirette onlara bol lütuflarda bulunandir. Ne kadar büyüklük, ululuk, yücelik varsa, hepsi Allah’a mahsustur.
86|الْمُقْسِطُ|El-Muksit |Bütün isleri birbirine uygun ve denk yapan.|El-Muksit: Adâlet sahibi; bütün islerini denk, birbirine uygun ve yerli yerinde yapan demektir. Allah Teâlâ, adâletle hükmedendir. En üstün adâlet ve merhamet sahibidir. Mazlumlarin haklarini zâlimlerden alandir. Dünyada dost düsman ayirimi yapmadan bütün kullarina rizik verir. Âhirette, dostlari, yaptiklarinin karsiligini fazlasiyla alacak, düsmanlari ise sadece yaptiklarinin karsiligi bir cezaya çarptirilacaklardir.
87|الْجَامِعُ|El-Câmî |Istedigini istedigi zaman istedigi yerde toplayan.|El-Câmî: Istedigini istedigi zaman istedigi yerde toplayan demektir. Allah Teâlâ, birbirine benzeyen seyleri ve benzemeyen zit seyleri bir araya getirip toplayandir. Kiyâmet günü hesaba çekmek için yaratiklari toplayandir. Bütün iyilikleri, güzellikleri ve övgüleri zâtinda toplayandir. Tabiatlari zit birçok unsuru bir araya getirendir. Insanlari birbirlerine sevdirip kalpleri isindirandir.
88|الْغَنِيُّ|El-Ganîyy |Çok zengin olan.|El-Ganîyy: Çok zengin olan; hiç bir seye muhtaç olmayan demektir. Allah Teâlâ, her sey kendisine muhtaç olan; kendisi hiç bir seye muhtaç olmayandir. Zât ve sifatlarinda her türlü ihtiyaçtan uzak olandir. Çok zengindir, hiçbir seye ihtiyaci yoktur. Ama bütün varliklar her konuda O’na muhtaçtir.
89|الْمُغْنِي|El-Mugnî |Istedigini zengin eden.|El-Mugnî: Istedigini zengin eden demektir. Allah Teâlâ, diledigi kulun her türlü ihtiyacini karsilayandir. Fakir kullarini lütuf ve ihsâniyla zenginlestirir. Kanâat duygusu lütfedip gönül zenginligine eristirir. Kulun hal ve davranislarini rizasi yönüne yönlendirerek mânevî bakimdan zenginlestirir.
90|اَلْمَانِعُ|El-Mânî |Bazi seylerin meydana gelmesine müsaade etmeyen, engelleyen.|El-Mânî:; Dilemedigi seylerin gerçeklesmesine izin vermeyen; kötü seylere engel olan demektir. Allah Teâlâ, bazi isteklerin gerçeklesmesine müsaade etmez. Bütün isteklerimiz, Allah’in dilemesi ve takdiriyle gerçeklesir. O’nun dilemedigi bir sey olmaz. Diledigi sey de olur. Allah Teâlâ, sevdigi kullarinin bazi kötü isteklerine engel olmak suretiyle onlari zarardan korur.
91|الضَّارَّ|Ed-Dâr |Elem ve zarar verecek seyleri yaratan, hüsrana ugratan.|Ed-Dâr: Zarar veren; elem ve zarar verici seyleri yaratan demektir. Allah Teâlâ, bir kuluna her hangi bir zarar vermeyi dilerse, hiç kimse ona fayda veremez. Fayda vermek istedigi kimseye de kimse zarar veremez. “Dârr” ismi, “Nâfi’” ismiyle beraber degerlendirilmelidir.
92|النَّافِعُ|En-Nâfi |Hayir ve menfaat verecek seyleri yaratan.|En-Nâfi: Fayda veren; diledigi kuluna hayirli ve faydali olani veren demektir. Allah Teâlâ, zararli gibi görünen her seyi sezilmez yollarla faydali hale getirendir. Çaresizlerin imdadina yetisendir. Kulunu hayra ve iyilige yöneltendir. “Nâfi” ismi, “Dârr” ismiyle beraber degerlendirilmelidir.
93|النُّورُ|En-Nûr |Alemleri nurlandiran.|En-Nûr: Nurlandiran, isik veren, nur kaynagi; âlemleri nurlandiran; istedigi simalara, zihinlere ve gönüllere nur yagdiran demektir. Allah Teâlâ, varligi apaçik olandir. Nuru yaratan, onunla gökleri ve yeri aydinlatandir. Kulunun kalbini, gönlünü îmân nuruyla aydinlatarak hidâyete ermesini ve dogruyu bulmasini saglayandir.
94|الْهَادِي|El-Hâdî |Hidayete ve dogru yola erdiren.|El-Hâdî: Hidâyeti yaratan; istedigi kulunu muradina erdiren, hayirli yollara muvaffak kilan demektir. Allah Teâlâ, inanacak kalplerde hidâyeti yaratandir. Ebedî mutlulugu saglayacak dogru yolu gösteren ve dogru yola ulastirandir. Yolunu sasirmislara rehberlik edendir.
95|الْبَدِيعُ|El-Bedî |Örneksiz, misilsiz, hayret verici nice âlemler icad eden.|El-Bedî: Varliklari, esi, benzeri ve örnegi olmaksizin, sanatkârane bir sekilde yaratan demektir. Allah Teâlâ, her seyi, bir numûnesi, benzeri olmaksizin yaratandir. Bu yaratma da essiz ve benzersiz bir yaratmadir. Yani akillara durgunluk verecek derecede kusursuz ve mükemmel yaratmadir. Allah, zâtinda, sifatlarinda ve fiillerinde benzeri görülmeyendir.
96|اَلْبَاقِي|El-Bâki |Varliginin sonu bulunmayan, ebedi olan.|El-Bâki: Ebedî olan; varliginin sonu olmayan demektir. Allah Teâlâ, varligi devamli olandir. Varliginin bir baslangici olmadigi gibi bir sonu da yoktur. Zâti da, sifatlari da, fiilleri de bâkîdir, ebedîdir, devamlidir. Mü’min de her hangi bir isi Allah rizasi için yapmissa, o fiil de ebedîlik kazanir. Yani kul, öbür âlemde mükâfâtini alir.
97|الْوَارِثُ|El-Vâris |Servetlerin gerçek sahibi olan.|El-Vâris: Varliginin sonu olmayan demektir. Allah Teâlâ, yaratilmis bütün varliklari yok ettikten sonra bâkî kalan, mülkün gerçek sahibidir. Mülkü dilediginden alir, diledigine verir. Dünyada bulunan herkes ve evrende bulunan her sey fânîdir, geçicidir. Insanlar ölümlü olduklari için sahip olduklari mal, mülk, servet de geçicidir.
98|الرَّشِيدُ|Er-Resid |Bütün isleri ezeli takdirine uygun bir nizam ve hikmet üzere sonuna ulastiran.|Er-Resid: Irsad eden; dogru yolu gösteren demektir. Allah Teâlâ, bütün isleri isabetli olan ve hedefine ulasandir. Her seyi ezelî takdirine göre yürüten, bir nizam ve hikmet üzere sonuna ulastirandir. Lüzumsuz, faydasiz, bos is yapmayandir. Fiilleri dâimâ yerinde olandir. Devamli olarak hakka isabet edendir. Hiç kimsenin yol göstermesine muhtaç olmayandir.
99|الصَّبُورُ|Es-Sabûr |Çok sabirli olan. |Es-Sabûr: Çok sabirli demektir. Allah Teâlâ, günahkârlari cezalandirma konusunda acele etmeyip lütfuyla bagislayan ve erteleyendir. Günahkârlara mühlet tanir. Tövbe kapisini ölünceye kadar açik tutar. Kullarinin af ve bagislama dilemeleri için onlara firsatlar tanir. Bu isimden nasip alan kul, ibâdetleri yapmada, haramlardan kaçinmada ve her türlü felâket karsisinda sabirli olur.
